author,title,fragment
Лермонтов М.Ю.,А. О. Смирновой,"В простосердечии невежды
Короче знать вас я желал
Но эти сладкие надежды
Теперь я вовсе потерял.
Без вас — хочу сказать вам много,
При вас — я слушать вас хочу;
Но молча вы глядите строго,
И я, в смущении, молчу!
Что ж делать? — речью безыскусной
Ваш ум занять мне не дано...
Все это было бы смешно,
Когда бы не было так грустно.
"
Лермонтов М.Ю.,Ангел,"По небу полуночи ангел летел
И тихую песню он пел;
И месяц, и звезды, и тучи толпой
Внимали той песне святой.
Он пел о блаженстве безгрешных духов
Под кущами райских садов;
О боге великом он пел, и хвала
Его непритворна была.
Он душу младую в объятиях нес
Для мира печали и слез,
И звук его песни в душе молодой
Остался — без слов, но живой
И долго на свете томилась она,
Желанием чудным полна;
И звуков небес заменить не могли
Ей скучные песни земли."
Лермонтов М.Ю.,К Нине,"Ах! сокрылась в мрак ненастный
Счастья прошлого мечта!..
По одной звезде прекрасной
Млею, бедный сирота.
Но как блеск звезды моей,
Ложно счастье прежних дней.
Пусть навек с златым мечтаньем,
Пусть тебе глаза закрыть,
Сохраню тебя страданьем:
Ты для сердца будешь жить;
Но увы! ты любишь свет:
И любви моей как нет!
Может ли любви страданье,
Нина! некогда пройти?
Бури света волнованье
Чувств горячих унести?
Иль умрет небесный жар,
Как земли ничтожный дар?.."
Лермонтов М.Ю.,Баллада,"Куда так проворно, жидовка младая?
Час утра, ты знаешь, далек...
Потише, распалась цепочка златая,
И скоро спадет башмачок.
Вот мост! вот чугунные влево перилы
Блестят от огня фонарей;
Держись за них крепче, устала, нет силы!..
Вот дом — и звонок у дверей.
Безмолвно жидовка у двери стояла,
Как мраморный идол бледна:
Потом, за снурок потянув, постучала...
И кто-то взглянул из окна!..
И страхом и тайной надеждой пылая,
Еврейка глаза подняла,
Конечно, ужасней минута такая
Столетий печали была.
Она говорила: «Мой ангел прекрасный!
Взгляни еще раз на меня...
Избавь свою Сару от пытки напрасной,
Избавь от ножа и огня.
Отец мой сказал, что закон Моисея
Любить запрещает тебя.
Мой друг, я внимала отцу не бледнея,
Затем, что внимала любя...
И мне обещал он страданья, мученья,
И нож наточил роковой,
И вышел... Мой друг, берегись его мщенья, —
Он будет как тень за тобой.
Отцовского мщенья ужасны удары,
Беги же отсюда скорей!
Тебе не изменят уста твоей Сары
Под хладной рукой палачей.
Беги!..» Но на лик, из окна наклоненный,
Блеснул неожиданный свет,
И что-то сверкнуло в руке обнаженной,
И мрачен глухой был ответ.
И тяжкое что-то на камни упало,
И стон раздался под стеной, —
В нем все улетающей жизнью дышало,
И больше, чем жизнью одной!
Поутру, толпяся, народ изумленный
Кричал и шептал об одном:
Там в доме был русский, кинжалом пронзенный,
И женщины труп под окном."
Лермонтов М.Ю.,Парус,"Белеет парус одинокой
В тумане моря голубом!..
Что ищет он в стране далекой?
Что кинул он в краю родном?...
Играют волны — ветер свищет,
И мачта гнется и скрыпит...
Увы! Он счастия не ищет
И не от счастия бежит!
Под ним струя светлей лазури,
Над ним луч солнца золотой...
А он, мятежный, просит бури,
Как будто в бурях есть покой!"
Лермонтов М.Ю.,Благодарность,"За все, за все тебя благодарю я:
За тайные мучения страстей,
За горечь слез, отраву поцелуя,
За месть врагов и клевету друзей;
За жар души, растраченный в пустыне,
За все, чем я обманут в жизни был...
Устрой лишь так, чтобы тебя отныне
Недолго я еще благодарил.
"
Лермонтов М.Ю.,В альбом,"Нет! — я не требую вниманья
На грустный бред души моей,
Не открывать свои желанья
Привыкнул я с давнишних дней.
Пишу, пишу рукой небрежной,
Чтоб здесь чрез много скучных лет
От жизни краткой, но мятежной
Какой-нибудь остался след.

Быть может, некогда случится,
Что, все страницы пробежав,
На эту взор ваш устремится,
И вы промолвите: он прав;
Быть может, долго стих унылый
Тот взгляд удержит над собой,
Как близ дороги столбовой
Пришельца — памятник могилы!.."
Лермонтов М.Ю.,Молитва,"В минуту жизни трудную
Теснится ль в сердце грусть:
Одну молитву чудную
Твержу я наизусть.
Есть сила благодатная
В созвучье слов живых,
И дышит непонятная,
Святая прелесть в них.
С души как бремя скатится,
Сомненье далеко —
И верится, и плачется,
И так легко, легко..."
Лермонтов М.Ю.,Морская царевна,"В море царевич купает коня;
Слышит: «Царевич! взгляни на меня!»
Фыркает конь и ушами прядет,
Брызжет и плещет и дале плывет.
Слышит царевич: «Я царская дочь!
Хочешь провесть ты с царевною ночь?»
Вот показалась рука из воды,
Ловит за кисти шелковой узды.
Вышла младая потом голова,
В косу вплелася морская трава.
Синие очи любовью горят;
Брызги на шее, как жемчуг, дрожат.
Мыслит царевич: «Добро же! постой!»
За косу ловко схватил он рукой.
Держит, рука боевая сильна:
Плачет и молит и бьется она.
К берегу витязь отважно плывет;
Выплыл; товарищей громко зовет;
«Эй, вы! сходитесь, лихие друзья!
Гляньте, как бьется добыча моя...
Что ж вы стоите смущенной толпой?
Али красы не видали такой?»
Вот оглянулся царевич назад:
Ахнул! померк торжествующий взгляд.
Видит: лежит на песке золотом
Чудо морское с зеленым хвостом;
Хвост чешуею змеиной покрыт,
Весь замирая, свиваясь, дрожит;
Пена струями сбегает с чела,
Очи одела смертельная мгла.
Бледные руки хватают песок;
Шепчут уста непонятный упрек...
Едет царевич задумчиво прочь.
Будет он помнить про царскую дочь!"
Лермонтов М.Ю.,Веселый час,"Зачем вы на меня,
Любезные друзья,
В решетку так глядите?
Не плачьте, не грустите!
Пускай умру сейчас,
Коль я в углу темницы
Смочил один хоть раз
Слезой мои ресницы!..
Ликуйте вы одне
И чаши осушайте,
Любви в безумном сне,
Как прежде, утопайте;
Но в пламенном вине
Меня воспоминайте!.."
